ZIPCODE,Latitude,Longitude,Walk Score,Walk Description,Transit Score,Transit Description,Bike Score,Bike Description
90001,33.973951,-118.248405,87,Very Walkable,61,Good Transit,57,Bikeable
90002,33.950514,-118.245855,57,Somewhat Walkable,52,Good Transit,58,Bikeable
90003,33.949164,-118.273156,68,Somewhat Walkable,57,Good Transit,75,Very Bikeable
90004,34.076198,-118.310723,93,Walker's Paradise,61,Good Transit,64,Bikeable
90005,34.059163,-118.306892,97,Walker's Paradise,78,Excellent Transit,61,Bikeable
90006,34.048042,-118.294177,94,Walker's Paradise,69,Good Transit,71,Very Bikeable
90007,34.028133,-118.284828,90,Very Walkable,72,Excellent Transit,96,Biker's Paradise
90008,34.009552,-118.346724,36,Car-Dependent,51,Good Transit,16,Somewhat Bikeable
90010,34.062148,-118.315889,91,Walker's Paradise,74,Excellent Transit,60,Bikeable
90011,34.00709,-118.258681,80,Very Walkable,59,Good Transit,75,Very Bikeable
90012,34.065875,-118.238728,93,Walker's Paradise,85,Excellent Transit,55,Bikeable
90013,34.045406,-118.240454,94,Walker's Paradise,99,Rider's Paradise,78,Very Bikeable
90014,34.043146,-118.251746,97,Walker's Paradise,100,Rider's Paradise,90,Biker's Paradise
90015,34.039378,-118.266299,87,Very Walkable,96,Rider's Paradise,85,Very Bikeable
90016,34.028332,-118.354338,82,Very Walkable,59,Good Transit,77,Very Bikeable
90017,34.052913,-118.26434,94,Walker's Paradise,99,Rider's Paradise,64,Bikeable
90018,34.028887,-118.317183,76,Very Walkable,51,Good Transit,59,Bikeable
90019,34.049841,-118.33846,88,Very Walkable,62,Good Transit,59,Bikeable
90020,34.06638,-118.30987,97,Walker's Paradise,78,Excellent Transit,67,Bikeable
90021,34.029036,-118.23787,57,Somewhat Walkable,59,Good Transit,69,Bikeable
90023,34.022502,-118.199613,81,Very Walkable,56,Good Transit,45,Somewhat Bikeable
90024,34.065729,-118.434999,52,Somewhat Walkable,70,Excellent Transit,40,Somewhat Bikeable
90025,34.04536,-118.445818,89,Very Walkable,64,Good Transit,75,Very Bikeable
90026,34.080017,-118.262643,96,Walker's Paradise,57,Good Transit,60,Bikeable
90027,34.127194,-118.295647,12,Car-Dependent,32,Some Transit,29,Somewhat Bikeable
90028,34.099912,-118.326912,98,Walker's Paradise,72,Excellent Transit,79,Very Bikeable
90029,34.089848,-118.294661,92,Walker's Paradise,70,Excellent Transit,72,Very Bikeable
90031,34.085807,-118.206617,12,Car-Dependent,59,Good Transit,20,Somewhat Bikeable
90032,34.078195,-118.185497,41,Car-Dependent,46,Some Transit,19,Somewhat Bikeable
90033,34.05038,-118.211991,89,Very Walkable,75,Excellent Transit,65,Bikeable
90034,34.030578,-118.399613,79,Very Walkable,58,Good Transit,82,Very Bikeable
90035,34.051809,-118.383674,96,Walker's Paradise,47,Some Transit,54,Bikeable
90036,34.07041,-118.350411,89,Very Walkable,60,Good Transit,70,Very Bikeable
90037,34.002723,-118.287487,76,Very Walkable,64,Good Transit,79,Very Bikeable
90038,34.088475,-118.325527,96,Walker's Paradise,60,Good Transit,78,Very Bikeable
90039,34.111525,-118.260552,67,Somewhat Walkable,46,Some Transit,77,Very Bikeable
90041,34.137412,-118.207607,79,Very Walkable,50,Good Transit,39,Somewhat Bikeable
90042,34.114708,-118.192098,83,Very Walkable,63,Good Transit,39,Somewhat Bikeable
90043,33.988505,-118.336358,79,Very Walkable,52,Good Transit,57,Bikeable
90044,33.938108,-118.285706,56,Somewhat Walkable,66,Good Transit,68,Bikeable
90045,33.942108,-118.417488,16,Car-Dependent,24,Minimal Transit,31,Somewhat Bikeable
90046,34.108455,-118.362081,14,Car-Dependent,34,Some Transit,9,Somewhat Bikeable
90047,33.953617,-118.308429,78,Very Walkable,49,Some Transit,59,Bikeable
90048,34.072924,-118.37271,92,Walker's Paradise,63,Good Transit,71,Very Bikeable
90049,34.091829,-118.491244,6,Car-Dependent,0,No Nearby Transit,2,Somewhat Bikeable
90057,34.061735,-118.276757,92,Walker's Paradise,81,Excellent Transit,51,Bikeable
90062,34.003638,-118.308806,64,Somewhat Walkable,56,Good Transit,53,Bikeable
90063,34.045105,-118.185914,75,Very Walkable,51,Good Transit,34,Somewhat Bikeable
90064,34.037252,-118.423573,74,Very Walkable,62,Good Transit,74,Very Bikeable
90065,34.112272,-118.225496,29,Car-Dependent,38,Some Transit,17,Somewhat Bikeable
