ZIPCODE,Latitude,Longitude
90001,33.973951,-118.248405
90002,33.950514,-118.245855
90003,33.949164,-118.273156
90004,34.076198,-118.310723
90005,34.059163,-118.306892
90006,34.048042,-118.294177
90007,34.028133,-118.284828
90008,34.009552,-118.346724
90010,34.062148,-118.315889
90011,34.00709,-118.258681
90012,34.065875,-118.238728
90013,34.045406,-118.240454
90014,34.043146,-118.251746
90015,34.039378,-118.266299
90016,34.028332,-118.354338
90017,34.052913,-118.26434
90018,34.028887,-118.317183
90019,34.049841,-118.33846
90020,34.06638,-118.30987
90021,34.029036,-118.23787
90023,34.022502,-118.199613
90024,34.065729,-118.434999
90025,34.04536,-118.445818
90026,34.080017,-118.262643
90027,34.127194,-118.295647
90028,34.099912,-118.326912
90029,34.089848,-118.294661
90031,34.085807,-118.206617
90032,34.078195,-118.185497
90033,34.05038,-118.211991
90034,34.030578,-118.399613
90035,34.051809,-118.383674
90036,34.07041,-118.350411
90037,34.002723,-118.287487
90038,34.088475,-118.325527
90039,34.111525,-118.260552
90041,34.137412,-118.207607
90042,34.114708,-118.192098
90043,33.988505,-118.336358
90044,33.938108,-118.285706
90045,33.942108,-118.417488
90046,34.108455,-118.362081
90047,33.953617,-118.308429
90048,34.072924,-118.37271
90049,34.091829,-118.491244
90056,33.988047,-118.370361
90057,34.061735,-118.276757
90058,33.999433,-118.213255
90059,33.921065,-118.244955
90061,33.920965,-118.275356
90062,34.003638,-118.308806
90063,34.045105,-118.185914
90064,34.037252,-118.423573
90065,34.112272,-118.225496
90066,34.002028,-118.430657
90067,34.057597,-118.413998
90068,34.129772,-118.330989
90069,34.093828,-118.381697
90071,34.052876,-118.254943
90073,34.054533,-118.45703
90077,34.108537,-118.457081
90089,34.020221,-118.286035
90094,33.975416,-118.416989
90095,34.071312,-118.443545
90210,34.10263,-118.415972
90211,34.064958,-118.382979
90212,34.06221,-118.401966
90230,33.998214,-118.394059
90232,34.019323,-118.391902
90245,33.91918,-118.41647
90247,33.888315,-118.295256
90248,33.876482,-118.284077
90262,33.924538,-118.202954
90265,34.066117,-118.846342
90272,34.04806,-118.52647
90275,33.753146,-118.367459
90280,33.937714,-118.193403
90290,34.08927,-118.60436
90291,33.993396,-118.465193
90292,33.979007,-118.457852
90293,33.947305,-118.439841
90301,33.956526,-118.358654
90302,33.975332,-118.355252
90304,33.937887,-118.358559
90305,33.95889,-118.330548
90402,34.034666,-118.504039
90403,34.030755,-118.492101
90404,34.026608,-118.473643
90405,34.011167,-118.46963
90501,33.835665,-118.303805
90502,33.833816,-118.293405
90504,33.867257,-118.330794
90710,33.79002,-118.29785
90717,33.79224,-118.31507
90731,33.753088,-118.253053
90732,33.74212,-118.312878
90744,33.779417,-118.253853
90745,33.813317,-118.261154
90802,33.756024,-118.201101
90810,33.819266,-118.232453
90813,33.780017,-118.183701
91030,34.108957,-118.156615
91040,34.261962,-118.336078
91042,34.32222,-118.237918
91105,34.13946,-118.166649
91201,34.17051,-118.289463
91202,34.167926,-118.267539
91204,34.136194,-118.260934
91205,34.13658,-118.245839
91206,34.160359,-118.213769
91208,34.185833,-118.239524
91214,34.236302,-118.249185
91302,34.12331,-118.671028
91303,34.198292,-118.600914
91304,34.224377,-118.632656
91306,34.209532,-118.577563
91307,34.200833,-118.6649
91311,34.294142,-118.603883
91316,34.160236,-118.515472
91321,34.36811,-118.489037
91324,34.238208,-118.55029
91325,34.236683,-118.517588
91326,34.281486,-118.556005
91330,34.247532,-118.526076
91331,34.255442,-118.421314
91335,34.200175,-118.540958
91340,34.286689,-118.435078
91342,34.326674,-118.382262
91343,34.237912,-118.482306
91344,34.294615,-118.507001
91345,34.265878,-118.457241
91352,34.230854,-118.365856
91356,34.155097,-118.547553
91364,34.153733,-118.593408
91367,34.178068,-118.615714
91401,34.178483,-118.431791
91402,34.222506,-118.444689
91403,34.147149,-118.463365
91405,34.199824,-118.447609
91406,34.195685,-118.490752
91411,34.178522,-118.459234
91423,34.148617,-118.433298
91436,34.151729,-118.490755
91501,34.200993,-118.292773
91504,34.204568,-118.326365
91505,34.173885,-118.346937
91506,34.169706,-118.323548
91522,33.786594,-118.298662
91601,34.1692,-118.372498
91602,34.150818,-118.368159
91604,34.139082,-118.392751
91605,34.207295,-118.400022
91606,34.185767,-118.388324
91607,34.165783,-118.399795
91608,34.1389,-118.35341
91801,34.090728,-118.127527
91803,34.074736,-118.145959
